Face ID,Detection Time,Bounding Box
2,15:54:59,"(269, 138, 208, 208)",N/A,N/A,No
2,15:54:59,"(269, 138, 208, 208)",N/A,N/A,No
2,15:54:59,"(269, 139, 211, 211)",N/A,N/A,No
2,15:54:59,"(267, 137, 213, 213)",N/A,N/A,No
2,15:54:59,"(271, 142, 202, 202)",N/A,N/A,No
2,15:54:59,"(270, 137, 211, 211)",N/A,N/A,No
2,15:54:59,"(274, 145, 196, 196)",N/A,N/A,No
2,15:54:59,"(271, 139, 203, 203)",N/A,N/A,No
2,15:54:59,"(272, 142, 196, 196)",N/A,N/A,No
2,15:54:59,"(270, 139, 209, 209)",N/A,N/A,No
2,15:54:59,"(266, 139, 212, 212)",N/A,N/A,No
2,15:54:59,"(267, 140, 210, 210)",N/A,N/A,No
2,15:54:59,"(271, 145, 202, 202)",N/A,N/A,No
2,15:55:00,"(268, 139, 207, 207)",N/A,N/A,No
2,15:55:00,"(269, 141, 205, 205)",N/A,N/A,No
2,15:55:00,"(272, 145, 197, 197)",N/A,N/A,No
2,15:55:00,"(270, 142, 201, 201)",N/A,N/A,No
2,15:55:00,"(267, 137, 209, 209)",N/A,N/A,No
2,15:55:00,"(269, 137, 210, 210)",N/A,N/A,No
2,15:55:00,"(272, 143, 201, 201)",N/A,N/A,No
2,15:55:00,"(267, 142, 206, 206)",N/A,N/A,No
2,15:55:00,"(264, 143, 208, 208)",N/A,N/A,No
2,15:55:00,"(266, 141, 209, 209)",N/A,N/A,No
2,15:55:00,"(266, 140, 208, 208)",N/A,N/A,No
2,15:55:00,"(265, 140, 207, 207)",N/A,N/A,No
2,15:55:00,"(265, 143, 211, 211)",N/A,N/A,No
2,15:55:00,"(263, 141, 212, 212)",N/A,N/A,No
2,15:55:00,"(266, 139, 209, 209)",N/A,N/A,No
2,15:55:00,"(270, 146, 203, 203)",N/A,N/A,No
2,15:55:00,"(271, 145, 203, 203)",N/A,N/A,No
2,15:55:00,"(270, 149, 196, 196)",N/A,N/A,No
2,15:55:00,"(270, 143, 203, 203)",N/A,N/A,No
2,15:55:00,"(263, 141, 214, 214)",N/A,N/A,No
2,15:55:00,"(270, 143, 204, 204)",N/A,N/A,No
2,15:55:00,"(270, 142, 196, 196)",N/A,N/A,No
2,15:55:00,"(269, 144, 203, 203)",N/A,N/A,No
2,15:55:00,"(269, 142, 202, 202)",N/A,N/A,No
2,15:55:00,"(274, 147, 196, 196)",N/A,N/A,No
2,15:55:00,"(270, 141, 203, 203)",N/A,N/A,No
2,15:55:01,"(270, 141, 206, 206)",N/A,N/A,No
